site_code,site_name_loc,park_code,project,latitude,longitude
AKW04450-0006,NA,NA,AKMAP,63.154068,-146.237405
AKW04450-0007,Moose Creek,NA,AKMAP,63.638988,-148.579965
AKW04450-0008,Snow Mountain Gulch,NA,AKMAP,64.081528,-147.493675
AKW04450-0009,Baker Creek,NA,AKMAP,65.094689,-150.352424
AKW04450-0013,NA,NA,AKMAP,64.511239,-151.435094
AKW04450-0016,Granite Creek,NA,AKMAP,63.769168,-145.616975
AKW04450-0017,NA,NA,AKMAP,65.220978,-148.412384
AKW04450-0023,Monument Creek,NA,AKMAP,65.064598,-145.900684
AKW04450-0025,Starvation Creek,NA,AKMAP,65.322328,-149.401403
AKW04450-0027,NA,NA,AKMAP,63.281448,-148.700175
AKW04450-0030,Butte Creek,NA,AKMAP,64.734838,-145.698024
AKW04450-0032,NA,NA,AKMAP,63.279258,-145.891975
AKW04450-0035,McAdam Creek,NA,AKMAP,64.034997,-148.689535
AKW04450-0037,Boulder Creek,NA,AKMAP,65.106969,-151.416024
AKW04450-0039,NA,NA,AKMAP,63.911078,-148.975315
AKW04450-0042,Jacksina Cr trib,WRST,AKMAP,62.00978,-143.25925
AKW04450-0044,NA,NA,AKMAP,63.256128,-148.115955
AKW04450-0054,Upper Boulder Creek,NA,AKMAP,64.619778,-144.842614
AKW04450-0058,NA,NA,AKMAP,63.943448,-146.967685
AKW04450-0063,NA,NA,AKMAP,64.628229,-152.514154
AKW04450-0070,Canyon Creek,NA,AKMAP,64.292308,-146.486124
AKW04450-0073,NA,NA,AKMAP,63.897528,-148.466665
AKW04450-0075,Hutlinana Creek,NA,AKMAP,65.157099,-150.157644
AKW04450-0085,NA,NA,AKMAP,64.384118,-149.374214
AKW04450-0089,NA,NA,AKMAP,63.897998,-147.802125
AKW04450-0090,NA,NA,AKMAP,63.983888,-147.517755
AKW04450-0091,Little Denver Creek,NA,AKMAP,65.045119,-150.773194
AKW04450-0093,NA,NA,AKMAP,64.204258,-148.505835
AKW04450-0094,NA,NA,AKMAP,63.623308,-147.953895
AKW04450-0098,Till Valley,NA,AKMAP,63.805148,-145.493215
AKW04450-0105,Double Mountain,DENA,AKMAP,63.60687,-149.49168
AKW04450-0111,Ohio Creek,NA,AKMAP,64.796208,-148.235574
AKW04450-0112,Shaw Creek,NA,AKMAP,64.400468,-145.412094
AKW04450-0119,Tolovana River,NA,AKMAP,65.461768,-148.371583
AKW04450-0122,Big Grizzly Creek,NA,AKMAP,63.654548,-147.853355
AKW04450-0146,NA,NA,AKMAP,63.532948,-144.980195
AKW04450-0147,Chatanika River,NA,AKMAP,65.228888,-146.880264
AKW04450-0153,Platt Creek,NA,AKMAP,63.959998,-148.561665
AKW04450-0154,NA,NA,AKMAP,63.789568,-147.303775
AKW04450-0163,NA,NA,AKMAP,65.173328,-148.031304
AKW04450-0178,NA,NA,AKMAP,63.542298,-145.684925
AKW04450-0189,Piledriver Slough,NA,AKMAP,64.632948,-147.077614
AKW04450-0193,Stiles Creek,NA,AKMAP,64.939628,-146.264314
AKW04450-0195,Dome Creek,NA,AKMAP,65.073168,-147.703404
DENA-001,Rock Creek DENA,DENA,CAKN,63.724847,-148.967322
DENA-002,E. Savage River spring,DENA,CAKN,63.72834,-149.28557
DENA-004,Travertine Stream,DENA,CAKN,63.466328,-150.180106
DENA-008,Little Stony Creek,DENA,CAKN,63.450735,-150.246673
DENA-009,Little Stony trib center,DENA,CAKN,63.45311,-150.23729
DENA-011,Gorge Creek Spring,DENA,CAKN,63.432086,-150.297396
DENA-012,McKinley Bar spring,DENA,CAKN,63.429428,-150.813774
DENA-015,McKinley Bar Trail Creek,DENA,CAKN,63.446353,-150.83901
DENA-017,Tattler Creek,DENA,CAKN,63.567804,-149.640262
DENA-018,Igloo Creek above Tattler,DENA,CAKN,63.567537,-149.638051
DENA-021,Hogan Creek,DENA,CAKN,63.722042,-149.432188
DENA-022,Savage River,DENA,CAKN,63.742259,-149.290618
DENA-024,Gorge Creek,DENA,CAKN,63.422043,-150.321183
DENA-026,Moose Creek at crossing,DENA,CAKN,63.514344,-150.814299
DENA-028,Moose Creek at airstrip,DENA,CAKN,63.542768,-150.999974
DENA-029,Lake Creek DENA,DENA,CAKN,63.495858,-150.889845
DENA-031,Cantwell Creek,DENA,CAKN,63.336324,-149.171696
DENA-033,Hines Creek trib,DENA,CAKN,63.718305,-149.014038
DENA-034,Wonder Lake inflow,DENA,CAKN,63.496773,-150.881392
DENA-035,Eureka Creek,DENA,CAKN,63.527576,-150.961538
DENA-036,Friday Creek,DENA,USGS,63.539642,-150.98394
DENA-045,Tokositna trib,DENA,CAKN,62.659918,-150.80062
DENA-051,Ruth Glacier trib,DENA,CAKN,62.858521,-150.565436
DENA-055,Ruth Glacier trib 2,DENA,CAKN,62.82356,-150.693962
DENA-063,Slippery Creek,DENA,CAKN,63.5806,-151.577
DENA-GRTS-003,Stony Creek trib,DENA,CAKN,63.470522,-150.174246
DENA-GRTS-007,Glen Creek,DENA,CAKN,63.521117,-150.707233
DENA-GRTS-010,Moose Creek at bridge,DENA,CAKN,63.515879,-150.910265
DENA-GRTS-014,E.F. Toklat trib,DENA,CAKN,63.557125,-149.780656
DENA-GRTS-023,Last Chance Creek,DENA,CAKN,63.588413,-150.782753
DENA-GRTS-027,E.F. Toklat River,DENA,CAKN,63.556476,-149.782808
DENA-GRTS-039,Upper Moose Creek,DENA,CAKN,63.46351,-150.578798
DENA-GRTS-049,White Creek,DENA,CAKN,63.15425,-151.69821
DENA-GRTS-051,Clearwater Fork,DENA,CAKN,63.723706,-150.331961
DENA-GRTS-060,Savage River GRTS,DENA,CAKN,63.736193,-149.294581
DENA-GRTS-071,Stony Creek,DENA,CAKN,63.459781,-150.193201
DENA-GRTS-084,Igloo Creek,DENA,CAKN,63.608333,-149.586358
DENA-GRTS-104,Sanctuary River,DENA,CAKN,63.720905,-149.476771
DENA-GRTS-122,Highway Pass Creek,DENA,CAKN,63.49762,-150.072495
DENA-GRTS-127,Birch Creek,DENA,CAKN,63.195574,-151.319176
DENA-GRTS-134,Marten Creek,DENA,CAKN,63.816587,-150.425665
DENA-GRTS-137,Bear Creek DENA,DENA,CAKN,63.686225,-151.223405
DENA-GRTS-143,Birch Creek trib,DENA,CAKN,63.1972,-151.25256
DENA-GRTS-173,Sanctuary River trib,DENA,CAKN,63.564972,-149.261147
DENA-GRTS-183,McLeod Creek,DENA,CAKN,63.425933,-151.224039
DENA-GRTS-196,Alder Creek,DENA,CAKN,62.760687,-150.434247
DENA-MINE-001,Stampede Creek,DENA,CAKN,63.7412,-150.375867
DENA-MINE-001A,Stampede Creek,DENA,USGS,63.741199,-150.375842
DENA-MINE-002,Rock Creek,DENA,CAKN,63.65516,-150.870833
DENA-MINE-002A,Rock Creek KANTISHNA,DENA,USGS,63.666398,-150.872796
DENA-MINE-003,Caribou Creek,DENA,CAKN,63.682217,-150.945
DENA-MINE-003A,Caribou Creek DENA,DENA,USGS,63.682495,-150.944414
DENA-WQ-101,Bear Creek,DENA,CAKN,62.64267,-150.91118
DKH-LS-1000,NF Moose Creek,DENA,BLM_AIM,63.534949,-150.550951
DKH-LS-1008,Glacier Creek,DENA,BLM_AIM,63.672706,-150.995795
DKH-LS-1010,Moonlight Creek,DENA,BLM_AIM,63.661449,-150.469188
DKH-SS-1002,Wigand Creek trib,DENA,BLM_AIM,63.865003,-150.17028
DKH-SS-1009,Caribou Creek trib,DENA,BLM_AIM,63.617161,-150.81899
DKH-SS-1020,Slate Creek,DENA,BLM_AIM,63.481269,-151.063033
DKH-SS-1025,Glacier Creek,DENA,BLM_AIM,63.569702,-150.826806
DKH-TR-1003,Eureka Creek,DENA,BLM_AIM,63.54563,-150.873319
DKH-TR-1067,Glacier Creek,DENA,BLM_AIM,63.599194,-150.934389
DKH-TR-1084,Friday Creek,DENA,BLM_AIM,63.541004,-150.97897
DKH-TR-1113,EF Glen Creek,DENA,BLM_AIM,63.565836,-150.731346
DKH-TR-1133,EF Glen Creek,DENA,BLM_AIM,63.566524,-150.73146
DKH-TR-1227,Eureka Creek,DENA,BLM_AIM,63.528118,-150.960688
DKH-TR-1249,Caribou Creek,DENA,BLM_AIM,63.608406,-150.739517
DKH-TR-1336,Willow Creek,DENA,BLM_AIM,63.516281,-150.943587
DKH-TR-1360,Stampede Creek,DENA,BLM_AIM,63.755922,-150.33253
DKH-TR-1415,Friday Creek,DENA,BLM_AIM,63.54609,-150.954193
DN-TR-10936,Eldorado Creek,DENA,BLM_AIM,63.531534,-150.97456
USGS-001,Caribou Creek #1,DENA,USGS,63.616035,-150.677091
USGS-002,Glen Creek,DENA,USGS,63.522009,-150.705706
USGS-005,Slate Creek,DENA,USGS,63.481162,-151.072565
USGS-006,Chokosna River,WRST,USGS,61.455229,-143.76353
USGS-007,Long Lake Tributary 1,WRST,USGS,61.386863,-143.24823
USGS-008,Long Lake Creek,WRST,USGS,61.377457,-143.314027
USGS-010,Lakina River,WRST,USGS,61.375277,-143.346557
WRST-001,Trib W of Tana River,WRST,CAKN,61.21659,-142.8425
WRST-002,Chakina River braid,WRST,CAKN,61.32841,-143.142155
WRST-003,Trib E of Tebay River,WRST,CAKN,61.36657,-143.96683
WRST-004,Chalk Creek,WRST,CAKN,62.50457,-143.1596
WRST-005,Swift Creek,WRST,CAKN,61.41624,-143.01735
WRST-006,Rock Creek WRST,WRST,CAKN,62.56511,-143.432748
WRST-007,Gravel Creek,WRST,CAKN,62.05445,-141.08015
WRST-008,Beaver Creek,WRST,CAKN,62.036956000000004,-141.787729
WRST-009,Rock Lake Outflow,WRST,CAKN,61.816233,-141.186717
WRST-010,Ptarmigan Creek,WRST,CAKN,61.86868,-141.151
WRST-011,Rock Creek trib,WRST,CAKN,62.565213,-143.432961
WRST-013,Gilahina River,WRST,CAKN,61.439212,-143.716481
WRST-014,Skookum Creek,WRST,CAKN,62.4047,-142.9997
WRST-015,Little Jack Creek,WRST,CAKN,62.546778,-143.331178
WRST-016,Nizina trib,WRST,CAKN,61.464276,-142.607475
WRST-017,Lake Creek WRST,WRST,CAKN,61.376487,-142.643299
WRST-019,Willow Creek,WRST,CAKN,61.05288,-142.745665
WRST-020,Skolai Pass stream,WRST,CAKN,61.648477,-142.116843
WRST-021,Moonshine Creek,WRST,CAKN,61.607216,-142.439492
WRST-022,4th of July Creek,WRST,CAKN,61.494533,-143.011943
WRST-023,Bear Creek,WRST,CAKN,61.485519,-143.23729
WRST-024,Amy Creek,WRST,CAKN,61.036856,-143.610423
WRST-025,May Creek,WRST,CAKN,61.348122,-142.698845
WRST-026,Galiano West creek,WRST,CAKN,59.916794,-139.729406
WRST-027,Icy Bay stream,WRST,CAKN,60.041891,-141.385461
WRST-028,Independence Creek,WRST,CAKN,60.007969,-141.417885
WRST-029,Little Esker Creek,WRST,CAKN,59.878889,-139.774775
WRST-036,Rufus Creek,WRST,CAKN,62.659674,-143.843121
WRST-038,Horsfeld Creek above crossing,WRST,CAKN,62.001442,-141.165525
WRST-039,Caribou Creek @ culvert,WRST,CAKN,62.573226,-143.518312
WRST-043,Lakina River abv bridge,WRST,CAKN,61.37528,-143.34658
WRST-050,Nadina River,WRST,CAKN,61.971007,-144.875184
WRST-060,Paco Creek,WRST,CAKN,62.532894,-143.284238
WRST-061,Tanada Creek @weir,WRST,CAKN,62.613834,-143.777758
WRST-065,Toby Creek trib,WRST,CAKN,61.465052,-142.263493
WRST-067,Hidden Creek,WRST,CAKN,61.558236,-143.122063
WRST-078,EF Bremner trib,WRST,CAKN,61.062225,-144.03881
WRST-079,lower Chicken Creek,WRST,CAKN,62.120922,-141.861718
WRST-080,Tana Knob Creek,WRST,CAKN,60.97621,-143.013708
WRST-081,Falls Creek trib,WRST,CAKN,61.209691,-144.456203
WRST-082,stream near Salmon Creek,WRST,CAKN,61.051741,-144.40322
WRST-087,Upper Young Creek,WRST,CAKN,61.272276,-142.360554
WRST-088,Tana River trib,WRST,CAKN,60.9356,-142.71345
WRST-090,Tana Knob Creek 3,WRST,CAKN,60.979466,-142.857788
WRST-091,Lakina trib 2,WRST,CAKN,61.53439,-143.384105
WRST-092,Chititu meadow stream,WRST,CAKN,61.353773,-142.611336
WRST-093,Gates Glacier trib,WRST,CAKN,61.586787,-142.965631
WRST-095,Tana Knob creek 2,WRST,CAKN,60.956561,-142.955958
WRST-096,Tebay Lake inflow,WRST,CAKN,61.188501,-144.390546
WRST-097,Windy Ridge stream,WRST,CAKN,62.38761,-144.365361
WRST-098,Twelvemile Creek,WRST,CAKN,60.811194,-142.478516
WRST-105,Willow Creek,WRST,CAKN,61.991352,-141.763678
WRST-GRTS-004,Notch Creek trib,WRST,CAKN,62.185424,-142.27949
WRST-GRTS-006,Sanford River FP stream,WRST,CAKN,62.234268,-144.623198
WRST-GRTS-008,McCarthy Creek,WRST,CAKN,61.493765,-142.786971
WRST-GRTS-012,Bryan Creek,WRST,CAKN,62.023365,-141.920021
WRST-GRTS-030,Strelna Creek @crossing,WRST,CAKN,61.540162,-144.060839
WRST-GRTS-036,Solo Creek trib,WRST,CAKN,61.788954,-141.761047
WRST-GRTS-106,Trail Creek,WRST,CAKN,61.590072,-143.741066
WRST-GRTS-120,Chathenda Creek,WRST,CAKN,62.09908,-141.782646
WRST-GRTS-126,upper Strelna Creek,WRST,CAKN,61.612999,-143.923476
WRST-GRTS-130,Jack Creek at bridge,WRST,CAKN,62.463988,-143.105184
WRST-GRTS-131,Iceberg Bench creek,WRST,CAKN,60.812897,-142.988164
WRST-GRTS-135,Chititu Creek,WRST,CAKN,61.294504,-142.59996
WRST-GRTS-136,Glacier Creek,WRST,CAKN,62.11871,-141.864727
WRST-GRTS-160,Beaver Dam Creek,WRST,CAKN,61.166181,-144.404024
WRST-GRTS-174,Lakina River trib,WRST,CAKN,61.526846,-143.383225
WRST-GRTS-204,Tana River trib,WRST,CAKN,60.931306,-142.713557
WRST-GRTS-215,Nadina River trib,WRST,CAKN,61.970693,-144.774381
WRST-GRTS-220,high elevation Tana trib,WRST,CAKN,60.903484,-142.572069
WRST-GRTS-223,Sheep Gulch,WRST,CAKN,61.951662,-144.449208
WRST-GRTS-224,Clear Stream trib,WRST,CAKN,61.10829,-141.988096
WRST-GRTS-228,Hunter Creek,WRST,CAKN,61.108018,-142.622084
WRST-GRTS-234,Stuver Creek trib,WRST,CAKN,62.338508,-142.287984
WRST-GRTS-241,Mt. Sanford stream,WRST,CAKN,62.336114,-144.462514
WRST-GRTS-244,Ultima Thule Creek,WRST,CAKN,61.131923,-142.330943
WRST-GRTS-246,Monahan Creek,WRST,CAKN,61.098285,-143.296539
WRST-GRTS-247,Paco's River,WRST,CAKN,60.939026,-143.250124
WRST-GRTS-251,Hanagita River,WRST,CAKN,61.203677,-143.61284
WRST-GRTS-289,Sheep Glacier stream trib,WRST,CAKN,62.321393,-144.328653
WRST-GRTS-296,W.F. Glacier trib,WRST,CAKN,61.611991,-142.68345
WRST-GRTS-302,North Fork White River,WRST,CAKN,61.858852,-141.736672
WRST-GRTS-324,Young Creek,WRST,CAKN,61.204759,-142.34287
WRST-GRTS-345,Capital Mountain stream,WRST,CAKN,62.475471,-144.073559
WRST-GRTS-355,Chokosna River trib,WRST,CAKN,61.536453,-143.574651
WRST-GRTS-356,Copper Creek,WRST,CAKN,61.329612,-142.396373
WRST-GRTS-372,Tana Glacier trib,WRST,CAKN,60.806562,-142.740204
WRST-GRTS-375,Bridge Creek,WRST,CAKN,61.305669,-144.153009
WRST-GRTS-386,Chisana trib,WRST,CAKN,62.25622,-141.94642
YUCH-003,Cathedral Creek,YUCH,CAKN,65.17384,-141.14775
YUCH-004,Crescent Creek,YUCH,CAKN,64.85241,-143.9502
YUCH-010,Copper Creek,YUCH,CAKN,64.863853,-143.399228
YUCH-012,Webber Creek,YUCH,CAKN,65.339958,-143.63214
YUCH-GRTS-001,Upper Charley River,YUCH,CAKN,64.563213,-143.214642
YUCH-GRTS-003,Coal Creek,YUCH,CAKN,65.333217,-143.111583
YUCH-GRTS-017,Three Fingers stream,YUCH,CAKN,64.57174,-143.22529
YUCH-GRTS-035,Coal Creek at strip,YUCH,CAKN,65.308467,-143.135433
YUCH-GRTS-099,Seventymile River trib,YUCH,CAKN,64.929117,-142.911117
YUCH-GRTS-104,Crescent Creek trib,YUCH,CAKN,64.804154,-143.985624
YUCH-GRTS-115,Cedar Creek,YUCH,CAKN,64.86604,-143.20721
YUCH-GRTS-123,Maggie Creek,YUCH,CAKN,65.41529,-142.16853
YUCH-GRTS-128,Woodchopper Creek,YUCH,CAKN,65.232976,-143.55383
YUCH-GRTS-168,Charley River trib,YUCH,CAKN,64.902142,-143.731877
YUCH-GRTS-177,Yukon River trib,YUCH,CAKN,65.42502,-142.977476
YUCH-GRTS-188,Copper Creek,YUCH,CAKN,64.807864,-142.741094
